abandon	ə'bændən	vt.丢弃；放弃，抛弃
exclude	iks'klu:d	vt.把…排除在外
exclusively	iks'klu:sivli	ad.专门地
excursion	iks'kə:ʃən	n.远足；短途旅行
excuse	iks'kju:z,iks'kju:s	vt.原谅；免除n.借口
execute	eksikju:t	vt.将…处死；实施
executive	ig'zekjutiv	a.执行的n.执行者
exercise	eksəsaiz	n.锻炼，训练vi.练习
exert	ig'zə:t	vt.尽(力)，运用
exhaust	ig'zɔ:st	vt.使筋疲力尽；用尽
exhibit	ig'zibit	vt.显示；陈列，展览
exhibition	eksi'biʃən	n.展览，陈列；展览会
exist	ig'zist	vi.存在；生存，生活
existence	ig'zistəns	n.存在，实在；生存
exit	eksit	n.出口；退场vi.退出
expand	iks'pænd	vt.扩大；使膨胀
expansion	iks'pænʃən	n.扩大，扩充；扩张
expect	iks'pekt	vt.预料，预期；等待
expectation	ekspek'teiʃən	n.期待，期望，预期
expense	iks'pens	n.花费，消费；费用
expensive	iks'pensiv	a.昂贵的，花钱多的
experience	iks'piəriəns	n.经验，感受；经历
experiment	iks'perimənt	n.实验；试验
experimental	iksperi'mentl	a.实验的，试验的
expert	ekspə:t	n.专家a.熟练的
explain	iks'plein	vt.解释；为…辩解
explanation	eksplə'neiʃən	n.解释，说明；辩解
explode	iks'pləud	vt.使爆炸vi.爆炸
explɔit	eksplɔit,iks'plɔit	vt.剥削；利用；开拓
explore	iks'plɔ:	vt.&vi.探险，探索
explosion	iks'pləuʒən	n.爆炸，爆发，炸裂
explosive	iks'pləusiv	n.炸药a.爆炸的
export	eks'pɔ:t,'ekspɔ:t	vt.输出，出口；运走
expose	iks'pəuz	vt.使暴露；揭露
exposure	iks'pəuʒə	n.暴露；揭露；曝光
express	iks'pres	vt.表示n.快车，快递
expression	iks'preʃən	n.词句；表达；表情
extend	iks'tend	vt.延长；扩大；致
extension	iks'tenʃən	n.延长部分；伸展
extensive	iks'tensiv	a.广阔的；广泛的
extent	iks'tent	n.广度；范围；程度
exterior	eks'tiəriə	a.外部的；对外的
external	eks'tə:nl	a.外部的，外面的
extra	ekstrə	a.额外的ad.特别地
extraordinary	iks'trɔ:dinəri	a.非同寻常的，特别的
extreme	iks'tri:m	a.极度的；尽头的
eye	ai	n.眼睛；眼力；鉴赏力
eyesight	aisait	n.视力，目力
fabric	fæbrik	n.织物，纺织品；结构
face	feis	n.脸；表面；外表
facility	fə'siliti	n.设备；容易；便利
fact	fækt	n.事实；实际，实情
factor	fæktə	n.因素；因子，系数
factory	fæktəri	n.工厂，制造厂
faculty	fækəlti	n.才能，能力；系，科
fade	feid	vi.褪色；逐渐消失
fail	feil	vi.失败；失灵；不能
failure	feiljə	n.失败；失败的人
faint	feint	a.微弱的；虚弱的
fair	feə	a.公平的；相当的
fair	feə	n.定期集市；博览会
fairly	feəli	ad.相当；公平地
faith	feiθ	n.信任，信心；信仰
faithful	feiθful	a.忠诚的；如实的
fall	fɔ:l	vi.落下；跌倒；陷落
FALSE	fɔ:ls	a.不真实的；伪造的
fame	feim	n.名声，名望
familiar	fə'miljə	a.熟悉的；冒昧的
family	fæmili	n.家，家庭；家族
famine	fæmin	n.饥荒；严重的缺乏
famous	feiməs	a.著名的，出名的
fan	fæn	n.(运动等)狂热爱好者
fan	fæn	n.扇子，风扇vt.扇
fancy	fænsi	n.想象力；设想；爱好
far	fa:	a.远的ad.远，遥远
fare	feə	n.车费，船费，票价
farewell	feə'wel	int.再会n.告别
farm	fa:m	n.农场，农庄；饲养场
farmer	fa:mə	n.农民，农夫；农场主
farther	fa:ðə	ad.更远地a.更远的
fashion	fæʃən	n.样子，方式；风尚
fashionable	fæʃənəbl	a.流行的，时髦的
fast	fa:st	a.快的；偏快的ad.快
fasten	fa:sn	vt.扎牢，扣住
fat	fæt	n.脂肪,肥肉a.肥胖的
fatal	feitl	a.致命的；命运的
fate	feit	n.命运，天数
father	fa:ðə	n.父亲；神父；创始人
fatigue	fə'ti:g	n.疲劳，劳累
fault	fɔ:lt	n.缺点；过失；故障
faulty	fɔ:lti	a.有错误的，有缺点的
favour	feivə	n.好感；赞同；恩惠
favourable	feivərəbl	a.有利的；赞成的
favourite	feivərit	a.特别受喜爱的
fear	fiə	n.害怕；担心vt.害怕
fearful	fiəful	a.害怕的，可怕的
feasible	fi:zəbl	a.可行的；可能的
feather	feðə	n.羽毛；翎毛；羽状物
feature	fi:tʃə	n.特征，特色；面貌
february	februəri	n.二月
